industry,process_type,cost_per_transaction,processing_time,error_rate,customer_satisfaction,automation_level,process_cluster,anomaly_score,is_anomaly,predicted_satisfaction
Healthcare,Customer Support,482.0564631875251,29.947738499347867,0.1926345937395159,3.7357324837390493,55,1,-1,1,5.3509619717765915
Telecom,Logistics,8800.923344537236,1.1016352424006899,0.05668396757208838,3.886336840272124,30,0,1,0,5.52477997328481
Banking,Billing,3217.8389518434315,1.8012629184440376,0.01172789425745966,9.656498496621877,23,2,-1,1,5.509517182171801
Telecom,Billing,1376.891188478936,24.89137493996462,0.09242352693848209,6.307559429192921,34,0,1,0,5.450457479768942
Telecom,Logistics,4737.766247162157,6.784417918158509,0.07820438164053164,8.08644182874225,29,0,1,0,5.468221084952047
Retail,Logistics,6023.230149390586,2.762308783490985,0.11242691098929082,1.408395275022902,96,1,1,0,5.452268975779049
Banking,Logistics,406.60897388285025,7.877294123858564,0.16138684350827065,1.9588302424753472,54,1,1,0,5.341992736728474
Banking,Loan Processing,2821.4670167451686,13.356904465444947,0.17006185240858496,8.33083264776333,63,1,1,0,5.371196733883668
Banking,Billing,424.71875534127054,22.18642184256874,0.08623369992622144,6.611945944758721,32,0,1,0,5.441077783334399
Telecom,Billing,4261.320353035439,19.10573026998496,0.09167069130420653,2.718838274861826,45,0,1,0,5.474440715671537
Healthcare,Loan Processing,8961.490287755818,7.891015309252192,0.0381537687626,4.643158652755644,90,2,1,0,5.568824407959553
Banking,Logistics,9828.258873786335,15.594842994916949,0.019034045687421064,5.848052499834605,96,2,-1,1,5.612985689718971
Telecom,Customer Support,6406.770779685912,27.860209056558492,0.1318308481446547,8.592488462236975,32,0,1,0,5.470325274828028
Retail,Logistics,1700.213168467459,24.635225532528974,0.02224314885501153,1.5437079252504478,67,2,1,0,5.531500062923653
Healthcare,Logistics,9067.908960993127,10.372503760122008,0.14942772269007665,6.370500604306262,63,1,1,0,5.455526629497446
Retail,Loan Processing,5210.853449680599,29.485672279315192,0.11242712755422703,7.453323294280155,29,0,1,0,5.47946791103426
Healthcare,Billing,1622.118189818889,21.549991612618797,0.04773076586295585,9.801026721194134,78,2,1,0,5.500956148659783
Telecom,Logistics,9225.094027571447,2.8110313143366716,0.11250935926740342,8.26444070462966,28,0,1,0,5.474968443754368
Manufacturing,Billing,7598.94360215872,2.0196606853705217,0.04476956615439878,3.4860458220874606,61,2,1,0,5.531133452300996
Healthcare,Supply Chain,7343.8821999592,5.88383052129087,0.09336006942697828,7.386212744904386,91,2,1,0,5.491044455829535
Retail,Billing,7120.888967564606,22.107820173454257,0.1619164600860235,7.8695009643427944,95,1,1,0,5.448470707844267
Telecom,Customer Support,2083.364228854779,6.328428849430409,0.0977646657480211,7.5676194992655565,99,2,1,0,5.431036361921707
Healthcare,Customer Support,2188.9662479045082,15.833116307056171,0.03825287047653417,8.38129661156683,29,2,1,0,5.497555647947016
Manufacturing,Logistics,6914.1006844298245,3.7045434852441206,0.14752744954635957,9.133569785922738,11,0,1,0,5.412213480087556
Manufacturing,Billing,2275.255226092929,27.70569857707566,0.04548599909130168,1.8858688209040624,66,2,1,0,5.519377949395005
Banking,Logistics,4442.849798350184,10.974857793923459,0.1503244761303208,1.9428747191300695,14,0,1,0,5.395928230848692
Banking,Loan Processing,7841.81807338002,27.335829640258293,0.10107693495100832,8.167599898935814,9,0,1,0,5.512428653606147
Retail,Customer Support,7861.1299291686255,28.401393615405784,0.0962109342279173,3.271352288693238,85,2,1,0,5.533487432135115
Healthcare,Logistics,4587.29154800601,1.177730772096743,0.1717726571929202,1.5268727975507015,60,1,1,0,5.36622589079271
Healthcare,Loan Processing,7942.680388924927,14.45992042876323,0.14463466962472707,4.611062628825453,22,0,1,0,5.44796894218933
Banking,Logistics,8402.355782360763,1.7150256154998937,0.016253051421438458,8.378892206434703,10,0,-1,1,5.559273784093414
Healthcare,Billing,6582.279937714176,27.35209022278427,0.06627311977430445,2.1390852143258234,15,0,1,0,5.535386787275651
Healthcare,Billing,2361.4159378533595,16.0338187973027,0.17547492556148075,7.0465777462402075,48,1,1,0,5.362697445241053
Manufacturing,Billing,2812.7166258169204,3.173376368256408,0.013481972023587741,1.0325427559441094,79,2,1,0,5.516021367124629
Banking,Billing,3216.92743854648,4.198025120020439,0.11359815478977436,1.9876370249120494,13,0,1,0,5.407638543052515
